0.000,0.000,0.000,0.000
0.001,0.000,0.000,15.702
0.002,0.000,0.000,6.277
0.003,0.000,0.000,6.277
0.004,0.000,0.000,6.277
0.005,0.000,0.000,6.277
0.006,0.000,0.000,6.277
0.007,0.000,0.000,6.277
0.008,0.000,0.000,6.277
0.009,0.000,0.000,6.277
0.010,0.000,0.000,6.277
0.011,0.000,0.000,6.277
0.012,0.000,0.000,6.277
0.013,0.001,0.075,6.269
0.014,0.001,0.071,6.274
0.015,0.001,0.068,6.274
0.016,0.002,0.139,6.266
0.017,0.002,0.133,6.271
0.018,0.003,0.201,6.263
0.019,0.004,0.192,6.268
0.020,0.005,0.257,6.260
0.021,0.006,0.320,6.257
0.022,0.006,0.305,6.261
0.023,0.007,0.365,6.254
0.024,0.009,0.422,6.250
0.025,0.010,0.477,6.247
0.026,0.011,0.529,6.244
0.027,0.013,0.579,6.241
0.028,0.014,0.626,6.238
0.029,0.016,0.671,6.235
0.030,0.017,0.714,6.232
0.031,0.019,0.755,6.228
0.032,0.020,0.793,6.225
0.033,0.022,0.831,6.222
0.034,0.024,0.866,6.219
0.035,0.025,0.899,6.216
0.036,0.027,1.006,6.205
0.037,0.029,1.033,6.207
0.038,0.031,1.133,6.196
0.039,0.034,1.154,6.197
0.040,0.035,1.174,6.194
0.041,0.038,1.268,6.183
0.042,0.040,1.282,6.185
0.043,0.042,1.371,6.174
0.044,0.045,1.455,6.167
0.045,0.047,1.461,6.169
0.046,0.050,1.541,6.158
0.047,0.053,1.617,6.152
0.048,0.055,1.689,6.145
0.049,0.058,1.759,6.139
0.050,0.061,1.750,6.141
0.051,0.064,1.816,6.130
0.052,0.067,1.879,6.123
0.053,0.069,1.939,6.117
0.054,0.073,1.996,6.111
0.055,0.076,2.051,6.104
0.056,0.079,2.103,6.098
0.057,0.082,2.227,6.084
0.058,0.086,2.271,6.082
0.059,0.089,2.312,6.076
0.060,0.092,2.352,6.070
0.061,0.096,2.389,6.064
0.062,0.099,2.425,6.057
0.063,0.103,2.534,6.043
0.064,0.106,2.563,6.042
0.065,0.110,2.665,6.027
0.066,0.114,2.688,6.026
0.067,0.118,2.784,6.012
0.068,0.121,2.801,6.010
0.069,0.125,2.892,5.996
0.070,0.129,2.904,5.994
0.071,0.133,2.990,5.980
0.072,0.137,2.998,5.979
0.073,0.141,3.079,5.965
0.074,0.145,3.157,5.955
0.075,0.150,3.231,5.946
0.076,0.154,3.227,5.944
0.077,0.158,3.298,5.930
0.078,0.162,3.365,5.921
0.079,0.167,3.429,5.911
0.080,0.171,3.415,5.910
0.081,0.175,3.477,5.895
0.082,0.180,3.536,5.886
0.083,0.184,3.592,5.877
0.084,0.189,3.645,5.867
0.085,0.193,3.696,5.858
0.086,0.198,3.745,5.848
0.087,0.203,3.791,5.839
0.088,0.207,3.835,5.830
0.089,0.213,3.951,5.812
0.090,0.218,3.987,5.808
0.091,0.223,4.022,5.798
0.092,0.227,4.055,5.789
0.093,0.232,4.086,5.779
0.094,0.238,4.191,5.762
0.095,0.243,4.216,5.757
0.096,0.248,4.239,5.748
0.097,0.253,4.337,5.731
0.098,0.258,4.354,5.726
0.099,0.263,4.372,5.716
0.100,0.269,4.463,5.699
0.101,0.274,4.474,5.694
0.102,0.279,4.561,5.677
0.103,0.285,4.568,5.672
0.104,0.290,4.575,5.663
0.105,0.295,4.656,5.646
0.106,0.301,4.734,5.633
0.107,0.306,4.733,5.628
0.108,0.312,4.806,5.611
0.109,0.318,4.877,5.599
0.110,0.324,4.869,5.594
0.111,0.329,4.936,5.577
0.112,0.335,4.926,5.572
0.113,0.340,4.990,5.555
0.114,0.346,5.052,5.542
0.115,0.352,5.110,5.529
0.116,0.358,5.091,5.525
0.117,0.364,5.148,5.507
0.118,0.370,5.202,5.495
0.119,0.376,5.254,5.482
0.120,0.382,5.303,5.470
0.121,0.388,5.275,5.465
0.122,0.394,5.323,5.448
0.123,0.400,5.368,5.435
0.124,0.406,5.412,5.423
0.125,0.412,5.453,5.410
0.126,0.418,5.493,5.398
0.127,0.424,5.531,5.385
0.128,0.430,5.566,5.372
0.129,0.437,5.601,5.360
0.130,0.443,5.633,5.347
0.131,0.449,5.664,5.335
0.132,0.456,5.694,5.322
0.133,0.462,5.722,5.310
0.134,0.469,5.823,5.289
